Time(s),   Energy,   MaxR2,  NumParticles,  TotalExecutionTime(s),   Throughput(GFLOPS),  MemoryBandwidth(GB/s)
0.000000, 1.052114e+01, 9.999438e-01, 10000, 0.000000,0.000,0.000000
0.100000, 1.052114e+01, 9.999673e-01, 10000, 0.000000,0.000,0.000000
0.200000, 1.052114e+01, 1.000036e+00, 10000, 0.000000,0.000,0.000000
0.300000, 1.052114e+01, 1.000151e+00, 10000, 0.000000,0.000,0.000000
0.400000, 1.052114e+01, 1.000312e+00, 10000, 0.000000,0.000,0.000000
0.500000, 1.052114e+01, 1.000518e+00, 10000, 0.000000,0.000,0.000000
0.600000, 1.052114e+01, 1.000769e+00, 10000, 0.000000,0.000,0.000000
0.700000, 1.052113e+01, 1.001067e+00, 10000, 0.000000,0.000,0.000000
0.800000, 1.052113e+01, 1.001410e+00, 10000, 0.000000,0.000,0.000000
0.900000, 1.052113e+01, 1.001798e+00, 10000, 0.000000,0.000,0.000000
