Time(s),   Energy,   MaxR2,  NumParticles
0.000000, 3.963663e+23, 1.069263e+09, 100
0.000000, 3.963655e+23, 1.069272e+09, 100
0.100000, 3.962381e+23, 1.115862e+09, 100
0.200000, 3.960451e+23, 1.254758e+09, 100
0.300000, 3.958303e+23, 1.490880e+09, 100
0.400000, 3.956261e+23, 1.830993e+09, 100
0.500000, 3.954488e+23, 2.282480e+09, 100
0.600000, 3.953023e+23, 2.852496e+09, 100
0.700000, 3.951842e+23, 3.547538e+09, 100
0.800000, 3.950897e+23, 4.373309e+09, 100
0.900000, 3.950139e+23, 5.334734e+09, 100
