Time(s),   Energy,   MaxR2,  NumParticles
0.000000, 4.016288e+23, 1.072737e+09, 100
0.000000, 4.016288e+23, 1.072737e+09, 100
0.100000, 4.016288e+23, 1.072763e+09, 100
0.200000, 4.016288e+23, 1.072837e+09, 100
0.300000, 4.016288e+23, 1.072960e+09, 100
0.400000, 4.016288e+23, 1.073133e+09, 100
0.500000, 4.016288e+23, 1.073354e+09, 100
0.600000, 4.016289e+23, 1.073624e+09, 100
0.700000, 4.016289e+23, 1.073944e+09, 100
0.800000, 4.016290e+23, 1.074312e+09, 100
0.900000, 4.016291e+23, 1.074730e+09, 100
