Time(s),   Energy,   MaxR2,  NumParticles,  TotalExecutionTime(s),   Throughput(GFLOPS),  MemoryBandwidth(GB/s)
0.000000, 1.056383e+01, 9.999454e-01, 10000, 0.000000,0.000,0.000000
0.100000, 1.056176e+01, 1.043245e+00, 10000, 0.000000,0.000,0.000000
0.200000, 1.056035e+01, 1.172324e+00, 10000, 0.000000,0.000,0.000000
0.300000, 1.055980e+01, 1.391729e+00, 10000, 0.000000,0.000,0.000000
0.400000, 1.055989e+01, 1.707720e+00, 10000, 0.000000,0.000,0.000000
0.500000, 1.056033e+01, 2.127140e+00, 10000, 0.000000,0.000,0.000000
0.600000, 1.056090e+01, 2.656622e+00, 10000, 0.000000,0.000,0.000000
0.700000, 1.056148e+01, 3.302199e+00, 10000, 0.000000,0.000,0.000000
0.800000, 1.056201e+01, 4.069172e+00, 10000, 0.000000,0.000,0.000000
0.900000, 1.056247e+01, 4.962116e+00, 10000, 0.000000,0.000,0.000000
